CATEGORY,SCHOOL NAME,ADDRESS,CITY,ZIP CODE,PHONE,URL,LONGITUDE,LATITUDE,LOCATION
MIDDLE SCHOOLS,Earle B. Wood MS,14615 Bauer Dr,Rockville,20852,301-460-2150,http://www.montgomeryschoolsmd.org/schools/woodms,-77.1075293636,39.093294956,"14615 Bauer Dr
Rockville, MD 20852
(39.093294956, -77.1075293636)"
MIDDLE SCHOOLS,Parkland MS,4610 W Frankfort Dr,Rockville,20853,301-438-5700,http://www.montgomeryschoolsmd.org/schools/parklandms,-77.0916686732,39.0841517945,"4610 W Frankfort Dr
Rockville, MD 20853
(39.0841517945, -77.0916686732)"
MIDDLE SCHOOLS,Briggs Chaney MS,1901 Rainbow Dr,Silver Spring,20905,301-989-6000,http://www.montgomeryschoolsmd.org/schools/briggschaneyms,-76.9714624882,39.1097896862,"1901 Rainbow Dr
Silver Spring, MD 20905
(39.1097896862, -76.9714624882)"
MIDDLE SCHOOLS,Martin Luther King MS,13737 Wisteria Dr,Germantown,20874,301-353-8080,http://www.montgomeryschoolsmd.org/schools/mlkms,-77.2851000471,39.1809127605,"13737 Wisteria Dr
Germantown, MD 20874
(39.1809127605, -77.2851000471)"
MIDDLE SCHOOLS,Kingsview MS,18909 Kingsview Rd,Germantown,20874,301-601-4611,http://www.montgomeryschoolsmd.org/schools/kingsviewms,-77.2850448312,39.1661607823,"18909 Kingsview Rd
Germantown, MD 20874
(39.1661607823, -77.2850448312)"
MIDDLE SCHOOLS,Argyle MS,2400 Bel Pre Rd,Silver Spring,20906,301-460-2400,http://www.montgomeryschoolsmd.org/schools/argylems,-77.048924226,39.0895212498,"2400 Bel Pre Rd
Silver Spring, MD 20906
(39.0895212498, -77.048924226)"
MIDDLE SCHOOLS,Rocky Hill MS,22401 Brick Haven Way,Clarksburg,20871,301-353-8282,http://www.montgomeryschoolsmd.org/schools/rockyhillms,-77.2634759958,39.2218821148,"22401 Brick Haven Way
Clarksburg, MD 20871
(39.2218821148, -77.2634759958)"
MIDDLE SCHOOLS,Neelsville MS,11700 Neelsville Church Rd,Germantown,20876,301-353-8064,http://www.montgomeryschoolsmd.org/schools/neelsvillems,-77.2405597451,39.1940928847,"11700 Neelsville Church Rd
Germantown, MD 20876
(39.1940928847, -77.2405597451)"
MIDDLE SCHOOLS,John T Baker MS,25400 Oak Dr,Damascus,20872,301-253-7010,http://www.montgomeryschoolsmd.org/schools/bakerms,-77.2187711116,39.2741001904,"25400 Oak Dr
Damascus, MD 20872
(39.2741001904, -77.2187711116)"
MIDDLE SCHOOLS,Thomas W Pyle MS,6311 Wilson La,Bethesda,20817,301-320-6540,http://www.montgomeryschoolsmd.org/schools/pylems,-77.1296136734,38.9888410039,"6311 Wilson La
Bethesda, MD 20817
(38.9888410039, -77.1296136734)"
MIDDLE SCHOOLS,Westland MS,5511 Massachusetts Ave,Bethesda,20816,301-320-6515,http://www.montgomeryschoolsmd.org/schools/westlandms,-77.1089289733,38.9603838716,"5511 Massachusetts Ave
Bethesda, MD 20816
(38.9603838716, -77.1089289733)"
MIDDLE SCHOOLS,North Bethesda MS,8935 Bradmoor Dr,Bethesda,20817,301-571-3883,http://www.montgomeryschoolsmd.org/schools/northbethesdams,-77.1248538896,39.0045827558,"8935 Bradmoor Dr
Bethesda, MD 20817
(39.0045827558, -77.1248538896)"
MIDDLE SCHOOLS,Herbert Hoover MS (Construction),8810 Post Oak Rd,Potomac,20854,301-469-1010,http://www.montgomeryschoolsmd.org/schools/hooverms,-77.1786375804,39.0448587758,"8810 Post Oak Rd
Potomac, MD 20854
(39.0448587758, -77.1786375804)"
MIDDLE SCHOOLS,Tilden MS,11211 Old Georgetown Rd,Rockville,20852,301-230-5930,http://www.montgomeryschoolsmd.org/schools/tildenms,-77.1219142526,39.038258394,"11211 Old Georgetown Rd
Rockville, MD 20852
(39.038258394, -77.1219142526)"
MIDDLE SCHOOLS,Cabin John MS,10701 Gainsborough Rd,Potomac,20854,301-469-1150,http://www.montgomeryschoolsmd.org/schools/cabinjohnms,-77.1720217394,39.0315783821,"10701 Gainsborough Rd
Potomac, MD 20854
(39.0315783821, -77.1720217394)"
MIDDLE SCHOOLS,Takoma Park MS,7611 Piney Branch Rd,Takoma Park,20910,301-650-6444,http://www.montgomeryschoolsmd.org/schools/takomaparkms,-77.0130811462,38.9854294113,"7611 Piney Branch Rd
Takoma Park, MD 20910
(38.9854294113, -77.0130811462)"
MIDDLE SCHOOLS,Silver Spring International MS,313 Wayne Ave,Silver Spring,20910,301-650-6544,http://www.montgomeryschoolsmd.org/schools/ssims,-77.0147746936,39.0005798316,"313 Wayne Ave
Silver Spring, MD 20910
(39.0005798316, -77.0147746936)"
MIDDLE SCHOOLS,Sligo MS,1401 Dennis Ave,Silver Spring,20902,301-649-8121,http://www.montgomeryschoolsmd.org/schools/sligoms,-77.0328776196,39.0267787982,"1401 Dennis Ave
Silver Spring, MD 20902
(39.0267787982, -77.0328776196)"
MIDDLE SCHOOLS,Francis Scott Key MS,910 Schindler Dr,Silver Spring,20903,301-422-5600,http://www.montgomeryschoolsmd.org/schools/fskms,-76.9922116369,39.0276166438,"910 Schindler Dr
Silver Spring, MD 20903
(39.0276166438, -76.9922116369)"
MIDDLE SCHOOLS,Eastern MS,300 E University Blv,Silver Spring,20901,301-650-6650,http://www.montgomeryschoolsmd.org/schools/easternms,-77.0008858418,39.0118461813,"300 E University Blv
Silver Spring, MD 20901
(39.0118461813, -77.0008858418)"
MIDDLE SCHOOLS,Col E Brooke Lee MS,11800 Monticello Ave,Silver Spring,20902,301-649-8100,http://www.montgomeryschoolsmd.org/schools/leems,-77.0307001852,39.0496028325,"11800 Monticello Ave
Silver Spring, MD 20902
(39.0496028325, -77.0307001852)"
MIDDLE SCHOOLS,White Oak MS,12201 New Hampshire Ave,Silver Spring,20904,301-989-5780,http://www.montgomeryschoolsmd.org/schools/whiteoakms,-76.9953329495,39.0565217301,"12201 New Hampshire Ave
Silver Spring, MD 20904
(39.0565217301, -76.9953329495)"
MIDDLE SCHOOLS,Forest Oak MS,651 Saybrooke Oaks Blv,Gaithersburg,20877,301-670-8242,http://www.montgomeryschoolsmd.org/schools/forestoakms,-77.1844656503,39.1535621295,"651 Saybrooke Oaks Blv
Gaithersburg, MD 20877
(39.1535621295, -77.1844656503)"
MIDDLE SCHOOLS,John Poole MS,17014 Tom Fox Ave,Poolesville,20837,301-972-7979,http://www.montgomeryschoolsmd.org/schools/poolems,-77.410844519,39.1260537267,"17014 Tom Fox Ave
Poolesville, MD 20837
(39.1260537267, -77.410844519)"
MIDDLE SCHOOLS,A Mario Loiederman MS,12701 Goodhill Rd,Silver Spring,20906,301-929-2282,http://www.montgomeryschoolsmd.org/schools/loiedermanms,-77.0708351501,39.065306494,"12701 Goodhill Rd
Silver Spring, MD 20906
(39.065306494, -77.0708351501)"
MIDDLE SCHOOLS,Lakelands Park MS,1200 Main St,Gaithersburg,20878,301-670-1400,http://www.montgomeryschoolsmd.org/schools/lakelandsparkms,-77.2329591425,39.115512598,"1200 Main St
Gaithersburg, MD 20878
(39.115512598, -77.2329591425)"
MIDDLE SCHOOLS,Herbert Hoover MS (at Tilden Center),6300 Tilden La,Rockville,20852,301-469-1010,http://www.montgomeryschoolsmd.org/schools/hooverms,-77.1305753352,39.0423221394,"6300 Tilden La
Rockville, MD 20852
(39.0423221394, -77.1305753352)"
MIDDLE SCHOOLS,Benjamin Banneker MS,14800 Perrywood Dr,Burtonsville,20866,301-989-5747,http://www.montgomeryschoolsmd.org/schools/bannekerms,-76.948403246,39.0960860509,"14800 Perrywood Dr
Burtonsville, MD 20866
(39.0960860509, -76.948403246)"
MIDDLE SCHOOLS,William H Farquhar MS,16915 Batchellors Forest Rd,Olney,20832,301-924-3100,http://www.montgomeryschoolsmd.org/schools/farquharms,-77.0450643632,39.134332601,"16915 Batchellors Forest Rd
Olney, MD 20832
(39.134332601, -77.0450643632)"
MIDDLE SCHOOLS,Rosa M Parks MS,19200 Olney Mill Rd,Olney,20832,301-924-3180,http://www.montgomeryschoolsmd.org/schools/rosaparksms,-77.0811949528,39.1719982569,"19200 Olney Mill Rd
Olney, MD 20832
(39.1719982569, -77.0811949528)"
MIDDLE SCHOOLS,Shady Grove MS,8100 Midcounty Hwy,Gaithersburg,20877,301-548-7540,http://www.montgomeryschoolsmd.org/schools/shadygrovems,-77.1626472824,39.1431549327,"8100 Midcounty Hwy
Gaithersburg, MD 20877
(39.1431549327, -77.1626472824)"
MIDDLE SCHOOLS,Redland MS,6505 Muncaster Mill Rd,Rockville,20855,301-840-4680,http://www.montgomeryschoolsmd.org/schools/redlandms,-77.1319130755,39.1405182884,"6505 Muncaster Mill Rd
Rockville, MD 20855
(39.1405182884, -77.1319130755)"
MIDDLE SCHOOLS,Newport Mill MS,11311 Newport Mill Rd,Kensington,20895,301-929-2244,http://www.montgomeryschoolsmd.org/schools/newportmillms,-77.0677974108,39.041512287,"11311 Newport Mill Rd
Kensington, MD 20895
(39.041512287, -77.0677974108)"
MIDDLE SCHOOLS,Gaithersburg MS,2 Teachers Way,Gaithersburg,20877,301-840-4554,http://www.montgomeryschoolsmd.org/schools/gaithersburgms,-77.1875725096,39.1437648079,"2 Teachers Way
Gaithersburg, MD 20877
(39.1437648079, -77.1875725096)"
MIDDLE SCHOOLS,Montgomery Village MS,19300 Watkins Mill Rd,Montgomery Village,20886,301-840-4660,http://www.montgomeryschoolsmd.org/schools/mvms,-77.2094293659,39.1725103244,"19300 Watkins Mill Rd
Montgomery Village, MD 20886
(39.1725103244, -77.2094293659)"
MIDDLE SCHOOLS,Roberto W Clemente MS,18808 Waring Station Rd,Germantown,20874,301-601-0344,http://www.montgomeryschoolsmd.org/schools/clementems,-77.2479808749,39.165823052,"18808 Waring Station Rd
Germantown, MD 20874
(39.165823052, -77.2479808749)"
MIDDLE SCHOOLS,Ridgeview MS,16600 Raven Rock Dr,Gaithersburg,20878,240-406-1300,http://www.montgomeryschoolsmd.org/schools/ridgeviewms,-77.249263077,39.127656608,"16600 Raven Rock Dr
Gaithersburg, MD 20878
(39.127656608, -77.249263077)"
MIDDLE SCHOOLS,Robert Frost MS,9201 Scott Dr,Rockville,20850,301-279-3949,http://www.montgomeryschoolsmd.org/schools/robertfrostms,-77.1876235891,39.0759509206,"9201 Scott Dr
Rockville, MD 20850
(39.0759509206, -77.1876235891)"
MIDDLE SCHOOLS,Julius West MS,651 Great Falls Rd,Rockville,20850,301-279-3979,http://www.montgomeryschoolsmd.org/schools/westms,-77.1638855665,39.0767475193,"651 Great Falls Rd
Rockville, MD 20850
(39.0767475193, -77.1638855665)"
HIGH SCHOOLS,Richard Montgomery HS,250 Richard Montgomery Dr,Rockville,20852,301-610-8000,http://www.montgomeryschoolsmd.org/schools/rmhs,-77.1457297834,39.0772920776,"250 Richard Montgomery Dr
Rockville, MD 20852
(39.0772920776, -77.1457297834)"
HIGH SCHOOLS,Rockville HS,2100 Baltimore Rd,Rockville,20851,301-517-8105,http://www.montgomeryschoolsmd.org/schools/rockvillehs,-77.1182723989,39.0863478113,"2100 Baltimore Rd
Rockville, MD 20851
(39.0863478113, -77.1182723989)"
HIGH SCHOOLS,Northwest HS,13501 Richter Farm Rd,Germantown,20874,301-601-4660,http://www.montgomeryschoolsmd.org/schools/northwesths,-77.2793294162,39.1515925975,"13501 Richter Farm Rd
Germantown, MD 20874
(39.1515925975, -77.2793294162)"
HIGH SCHOOLS,Walter Johnson HS,6400 Rock Spring Dr,Bethesda,20814,301-803-7100,http://www.montgomeryschoolsmd.org/schools/wjhs,-77.1301017226,39.0253918855,"6400 Rock Spring Dr
Bethesda, MD 20814
(39.0253918855, -77.1301017226)"
HIGH SCHOOLS,Montgomery Blair HS,51 E University Blv,Silver Spring,20901,301-649-2800,http://www.mbhs.edu,-77.0124342871,39.0182729296,"51 E University Blv
Silver Spring, MD 20901
(39.0182729296, -77.0124342871)"
HIGH SCHOOLS,Poolesville HS,17501 Willard Rd,Poolesville,20837,301-972-7900,http://www.montgomeryschoolsmd.org/schools/poolesvillehs,-77.4187801451,39.1431033716,"17501 Willard Rd
Poolesville, MD 20837
(39.1431033716, -77.4187801451)"
HIGH SCHOOLS,Watkins Mill HS,10301 Apple Ridge Rd,Gaithersburg,20879,301-840-3959,http://www.montgomeryschoolsmd.org/schools/watkinsmillhs,-77.215836205,39.183966701,"10301 Apple Ridge Rd
Gaithersburg, MD 20879
(39.183966701, -77.215836205)"
HIGH SCHOOLS,Damascus HS,25921 Ridge Rd,Damascus,20872,301-253-7030,http://www.montgomeryschoolsmd.org/schools/damascushs,-77.2100198748,39.2824956463,"25921 Ridge Rd
Damascus, MD 20872
(39.2824956463, -77.2100198748)"
HIGH SCHOOLS,Walt Whitman HS,7100 Whittier Blv,Bethesda,20817,301-320-6600,http://www.montgomeryschoolsmd.org/schools/whitmanhs,-77.1276727865,38.9816307564,"7100 Whittier Blv
Bethesda, MD 20817
(38.9816307564, -77.1276727865)"
HIGH SCHOOLS,Bethesda-Chevy Chase HS,4301 East West Hwy,Bethesda,20814,240-497-6300,http://www.montgomeryschoolsmd.org/schools/bcchs,-77.0889699717,38.9868264765,"4301 East West Hwy
Bethesda, MD 20814
(38.9868264765, -77.0889699717)"
HIGH SCHOOLS,Winston Churchill HS,11300 Gainsborough Rd,Potomac,20854,301-469-1200,http://www.montgomeryschoolsmd.org/schools/churchillhs,-77.1731281364,39.0443047898,"11300 Gainsborough Rd
Potomac, MD 20854
(39.0443047898, -77.1731281364)"
HIGH SCHOOLS,Albert Einstein HS,11135 Newport Mill Rd,Kensington,20895,301-929-2200,http://www.montgomeryschoolsmd.org/schools/einsteinhs,-77.0670360163,39.0396158925,"11135 Newport Mill Rd
Kensington, MD 20895
(39.0396158925, -77.0670360163)"
HIGH SCHOOLS,Wheaton HS,12601 Dalewood Dr,Silver Spring,20906,301-929-2050,http://www.montgomeryschoolsmd.org/schools/wheatonhs,-77.0666690813,39.0613378725,"12601 Dalewood Dr
Silver Spring, MD 20906
(39.0613378725, -77.0666690813)"
HIGH SCHOOLS,John F Kennedy HS,1901 Randolph Rd,Silver Spring,20902,301-929-2100,http://www.montgomeryschoolsmd.org/schools/kennedyhs,-77.039027838,39.0657502712,"1901 Randolph Rd
Silver Spring, MD 20902
(39.0657502712, -77.039027838)"
HIGH SCHOOLS,Springbrook HS,201 Valley Brook Dr,Silver Spring,20904,301-989-5700,http://www.montgomeryschoolsmd.org/schools/springbrookhs,-77.0056814998,39.0578019375,"201 Valley Brook Dr
Silver Spring, MD 20904
(39.0578019375, -77.0056814998)"
HIGH SCHOOLS,Paint Branch HS,14121 Old Columbia Pik,Burtonsville,20866,301-989-5600,http://www.montgomeryschoolsmd.org/schools/paintbranchhs,-76.9471015401,39.0886791828,"14121 Old Columbia Pik
Burtonsville, MD 20866
(39.0886791828, -76.9471015401)"
HIGH SCHOOLS,James Hubert Blake HS,300 Norwood Rd,Silver Spring,20905,301-879-1300,http://www.montgomeryschoolsmd.org/schools/blakehs,-77.0175061321,39.1133304559,"300 Norwood Rd
Silver Spring, MD 20905
(39.1133304559, -77.0175061321)"
HIGH SCHOOLS,Northwood HS,919 University Blv W,Silver Spring,20901,301-649-8088,http://www.montgomeryschoolsmd.org/schools/northwoodhs,-77.0224839838,39.0356942671,"919 University Blv W
Silver Spring, MD 20901
(39.0356942671, -77.0224839838)"
HIGH SCHOOLS,Clarksburg HS,22500 Wims Rd,Clarksburg,20871,301-444-3000,http://www.montgomeryschoolsmd.org/schools/clarksburghs,-77.2655866221,39.225501825,"22500 Wims Rd
Clarksburg, MD 20871
(39.225501825, -77.2655866221)"
HIGH SCHOOLS,Sherwood HS,300 Olney Sandy Spring Rd,Sandy Spring,20860,301-924-3200,http://www.montgomeryschoolsmd.org/schools/sherwoodhs,-77.018771801,39.148342372,"300 Olney Sandy Spring Rd
Sandy Spring, MD 20860
(39.148342372, -77.018771801)"
HIGH SCHOOLS,Col Zadok Magruder HS,5939 Muncaster Mill Rd,Rockville,20855,301-840-4600,http://www.montgomeryschoolsmd.org/schools/magruderhs,-77.1188059149,39.1313109818,"5939 Muncaster Mill Rd
Rockville, MD 20855
(39.1313109818, -77.1188059149)"
HIGH SCHOOLS,Gaithersburg HS,314 S Frederick Ave,Gaithersburg,20877,301-840-4700,http://www.montgomeryschoolsmd.org/schools/gaithsbghs,-77.1954776183,39.1348394458,"314 S Frederick Ave
Gaithersburg, MD 20877
(39.1348394458, -77.1954776183)"
HIGH SCHOOLS,Seneca Valley HS,19401 Crystal Rock Dr,Germantown,20874,301-353-8000,http://www.montgomeryschoolsmd.org/schools/senecavalleyhs,-77.2643319443,39.1750937217,"19401 Crystal Rock Dr
Germantown, MD 20874
(39.1750937217, -77.2643319443)"
HIGH SCHOOLS,Quince Orchard HS,15800 Quince Orchard Rd,Gaithersburg,20878,301-840-4686,http://www.montgomeryschoolsmd.org/schools/qohs,-77.254239085,39.1159327009,"15800 Quince Orchard Rd
Gaithersburg, MD 20878
(39.1159327009, -77.254239085)"
HIGH SCHOOLS,Thomas S Wootton HS,2100 Wootton Pkw,Rockville,20850,301-279-8550,http://www.montgomeryschoolsmd.org/schools/woottonhs,-77.1831974358,39.0765821359,"2100 Wootton Pkw
Rockville, MD 20850
(39.0765821359, -77.1831974358)"
ELEMENTARY SCHOOLS,Dr Sally K Ride ES,21301 Seneca Crossing Dr,Germantown,20876,301-353-0994,http://www.montgomeryschoolsmd.org/schools/ridees,-77.2373667612,39.2068179297,"21301 Seneca Crossing Dr
Germantown, MD 20876
(39.2068179297, -77.2373667612)"
ELEMENTARY SCHOOLS,Capt James E Daly ES,20301 Brandermill Dr,Germantown,20876,301-353-0939,http://www.montgomeryschoolsmd.org/schools/dalyes,-77.232435198,39.1894917072,"20301 Brandermill Dr
Germantown, MD 20876
(39.1894917072, -77.232435198)"
ELEMENTARY SCHOOLS,Waters Landing ES,13100 Waters Landing Dr,Germantown,20874,301-353-0915,http://www.montgomeryschoolsmd.org/schools/waterslandinges,-77.2686132909,39.1886082714,"13100 Waters Landing Dr
Germantown, MD 20874
(39.1886082714, -77.2686132909)"
